currency_pair,rate,date,source
USD/EUR,0.92,2026-09-12,Fixed
USD/GBP,0.79,2026-09-12,Fixed
USD/INR,83.50,2026-09-12,Fixed
USD/ZAR,18.75,2026-09-12,Fixed
USD/IDR,15800.00,2026-09-12,Fixed
USD/JPY,149.50,2026-09-12,Fixed
USD/CAD,1.36,2026-09-12,Fixed
USD/AUD,1.53,2026-09-12,Fixed
EUR/USD,1.09,2026-09-12,Fixed
EUR/GBP,0.86,2026-09-12,Fixed
EUR/INR,90.80,2026-09-12,Fixed
EUR/ZAR,20.40,2026-09-12,Fixed
EUR/IDR,17180.00,2026-09-12,Fixed
GBP/USD,1.27,2026-09-12,Fixed
GBP/EUR,1.16,2026-09-12,Fixed
GBP/INR,105.70,2026-09-12,Fixed
GBP/ZAR,23.75,2026-09-12,Fixed
GBP/IDR,19950.00,2026-09-12,Fixed
INR/USD,0.0120,2026-09-12,Fixed
INR/EUR,0.0110,2026-09-12,Fixed
INR/GBP,0.0095,2026-09-12,Fixed
INR/ZAR,0.225,2026-09-12,Fixed
INR/IDR,189.50,2026-09-12,Fixed
ZAR/USD,0.0533,2026-09-12,Fixed
ZAR/EUR,0.0490,2026-09-12,Fixed
ZAR/GBP,0.0421,2026-09-12,Fixed
ZAR/INR,4.44,2026-09-12,Fixed
ZAR/IDR,843.00,2026-09-12,Fixed
IDR/USD,0.0000633,2026-09-12,Fixed
IDR/EUR,0.0000582,2026-09-12,Fixed
IDR/GBP,0.0000501,2026-09-12,Fixed
IDR/INR,0.00528,2026-09-12,Fixed
IDR/ZAR,0.00119,2026-09-12,Fixed
