request_id,option_id,plan,monthly_amount,total_interest,processing_fee,early_settlement_allowed
RQ001,PO001,3_months,833.33,50.00,25.00,true
RQ002,PO002,6_months,300.00,100.00,15.00,true
RQ003,PO003,12_months,2916.67,2000.00,100.00,true
RQ004,PO004,3_months,2666.67,80.00,30.00,true
RQ005,PO005,12_months,708333.33,500000.00,200000.00,true
RQ006,PO006,2_months,400.00,20.00,10.00,true
RQ007,PO007,3_months,166.67,15.00,5.00,true
RQ008,PO008,6_months,2500.00,500.00,50.00,true
RQ009,PO009,2_months,1500.00,40.00,20.00,true
RQ010,PO010,12_months,1000000.00,800000.00,50000.00,true
RQ011,PO011,4_months,750.00,60.00,30.00,true
RQ012,PO012,3_months,400.00,30.00,10.00,true
RQ013,PO013,12_months,2083.33,1500.00,80.00,true
RQ014,PO014,6_months,833.33,150.00,40.00,true
RQ015,PO015,12_months,1250000.00,1000000.00,75000.00,true
RQ016,PO016,3_months,500.00,25.00,15.00,true
RQ017,PO017,2_months,350.00,15.00,5.00,true
RQ018,PO018,12_months,1666.67,1200.00,60.00,true
RQ019,PO019,4_months,1500.00,80.00,35.00,true
RQ020,PO020,6_months,833333.33,300000.00,150000.00,true
RQ021,PO021,4_months,500.00,40.00,20.00,true
RQ022,PO022,3_months,300.00,20.00,10.00,true
RQ023,PO023,12_months,1500.00,1000.00,50.00,true
RQ024,PO024,4_months,1000.00,70.00,30.00,true
RQ025,PO025,12_months,666666.67,400000.00,200000.00,true
RQ026,PO026,1_month,600.00,0.00,0.00,true
RQ027,PO027,2_months,200.00,10.00,5.00,true
RQ028,PO028,4_months,2500.00,150.00,50.00,true
RQ029,PO029,2_months,1250.00,30.00,15.00,true
RQ030,PO030,6_months,500000.00,200000.00,100000.00,true
RQ031,PO031,4_months,450.00,40.00,20.00,true
RQ032,PO032,3_months,366.67,25.00,10.00,true
RQ033,PO033,12_months,1000.00,800.00,40.00,true
RQ034,PO034,3_months,1166.67,50.00,20.00,true
RQ035,PO035,12_months,833333.33,600000.00,300000.00,true
RQ036,PO036,4_months,875.00,60.00,30.00,true
RQ037,PO037,2_months,300.00,20.00,10.00,true
RQ038,PO038,12_months,2333.33,1800.00,90.00,true
RQ039,PO039,6_months,1166.67,120.00,50.00,true
RQ040,PO040,6_months,1000000.00,400000.00,200000.00,true
RQ041,PO041,4_months,625.00,40.00,20.00,true
RQ042,PO042,3_months,266.67,20.00,10.00,true
RQ043,PO043,12_months,1833.33,1200.00,60.00,true
RQ044,PO044,4_months,1125.00,70.00,30.00,true
RQ045,PO045,6_months,666666.67,300000.00,150000.00,true
RQ046,PO046,2_months,600.00,20.00,10.00,true
RQ047,PO047,1_month,350.00,0.00,0.00,true
RQ048,PO048,3_months,2666.67,100.00,40.00,true
