request_id,user_id,amount,desired_completion_date,item,category,currency
RQ001,U001,2500.00,2026-09-26,Laptop,electronics,USD
RQ002,U002,1800.00,2026-10-02,Kitchen Appliances,home,EUR
RQ003,U003,35000.00,2026-10-12,Smartphone,electronics,INR
RQ004,U004,8000.00,2026-09-27,Travel Package,leisure,ZAR
RQ005,U005,8500000.00,2026-10-27,Gaming Setup,electronics,IDR
RQ006,U001,800.00,2026-09-20,Books,education,USD
RQ007,U002,500.00,2026-09-25,Restaurant Dinner,leisure,EUR
RQ008,U003,15000.00,2026-10-05,Tablet,electronics,INR
RQ009,U004,3000.00,2026-09-22,Concert Tickets,leisure,ZAR
RQ010,U005,12000000.00,2026-11-01,Home Theater,electronics,IDR
RQ011,U006,3000.00,2026-09-28,Gym Equipment,health,USD
RQ012,U007,1200.00,2026-09-29,Dinner Set,home,EUR
RQ013,U008,25000.00,2026-10-08,Laptop,electronics,INR
RQ014,U009,5000.00,2026-09-30,Family Vacation,leisure,ZAR
RQ015,U010,15000000.00,2026-11-05,VR Headset,electronics,IDR
RQ016,U001,1500.00,2026-09-23,Smart Watch,electronics,USD
RQ017,U002,700.00,2026-09-24,Office Supplies,work,EUR
RQ018,U003,20000.00,2026-10-15,Desktop PC,electronics,INR
RQ019,U004,6000.00,2026-09-28,Shopping Spree,leisure,ZAR
RQ020,U005,5000000.00,2026-10-20,Phone Upgrade,electronics,IDR
RQ021,U006,2000.00,2026-09-26,Camera,electronics,USD
RQ022,U007,900.00,2026-09-27,Sports Gear,sports,EUR
RQ023,U008,18000.00,2026-10-10,Refrigerator,home,INR
RQ024,U009,4000.00,2026-09-29,Hiking Trip,leisure,ZAR
RQ025,U010,8000000.00,2026-10-30,Console,electronics,IDR
RQ026,U001,600.00,2026-09-19,Streaming Subscription,entertainment,USD
RQ027,U002,400.00,2026-09-22,Coffee Machine,home,EUR
RQ028,U003,10000.00,2026-10-03,Headphones,electronics,INR
RQ029,U004,2500.00,2026-09-21,Movie Tickets,entertainment,ZAR
RQ030,U005,3000000.00,2026-10-18,Smart TV,electronics,IDR
RQ031,U006,1800.00,2026-09-25,Bicycle,sports,USD
RQ032,U007,1100.00,2026-09-28,Yoga Mat,health,EUR
RQ033,U008,12000.00,2026-10-07,Washing Machine,home,INR
RQ034,U009,3500.00,2026-09-26,Art Supplies,education,ZAR
RQ035,U010,10000000.00,2026-11-02,Gaming Chair,electronics,IDR
RQ036,U001,3500.00,2026-09-30,Desktop Monitor,electronics,USD
RQ037,U002,600.00,2026-09-23,Pet Supplies,pets,EUR
RQ038,U003,28000.00,2026-10-18,Serverset,electronics,INR
RQ039,U004,7000.00,2026-09-30,Weekend Getaway,leisure,ZAR
RQ040,U005,6000000.00,2026-10-25,Tablet Pro,electronics,IDR
RQ041,U006,2500.00,2026-09-27,Keyboard,electronics,USD
RQ042,U007,800.00,2026-09-26,Lamps,home,EUR
RQ043,U008,22000.00,2026-10-12,Microwave,home,INR
RQ044,U009,4500.00,2026-09-28,Spa Treatment,health,ZAR
RQ045,U010,4000000.00,2026-10-22,Drone,electronics,IDR
RQ046,U001,1200.00,2026-09-21,Shoes,clothing,USD
RQ047,U002,350.00,2026-09-20,Groceries,home,EUR
RQ048,U003,8000.00,2026-10-01,Tablet Stand,electronics,INR
RQ049,U004,1800.00,2026-09-23,Cafe Visit,leisure,ZAR
RQ050,U005,2000000.00,2026-10-15,Wireless Earbuds,electronics,IDR
RQ051,U006,4000.00,2026-09-29,Luggage, travel,USD
RQ052,U007,1500.00,2026-09-30,Exercise Bike,health,EUR
RQ053,U008,30000.00,2026-10-14,Smart Home System,home,INR
RQ054,U009,6000.00,2026-09-30,Dancing Classes,entertainment,ZAR
RQ055,U010,18000000.00,2026-11-10,Complete PC Build,electronics,IDR
RQ056,U001,900.00,2026-09-18,Gift Set,gifts,USD
RQ057,U002,550.00,2026-09-21,Handbag,fashion,EUR
RQ058,U003,14000.00,2026-10-06,External SSD,electronics,INR
RQ059,U004,3200.00,2026-09-24,Board Games,entertainment,ZAR
RQ060,U005,9000000.00,2026-10-28,Home Gym,health,IDR
RQ061,U006,1600.00,2026-09-24,Backpack,travel,USD
RQ062,U007,700.00,2026-09-25,Books,education,EUR
RQ063,U008,16000.00,2026-10-09,Dishwasher,home,INR
RQ064,U009,2800.00,2026-09-27,Fishing Trip,leisure,ZAR
RQ065,U010,7000000.00,2026-10-24,Smartwatch,electronics,IDR
RQ066,U001,2200.00,2026-09-28,Tablet,electronics,USD
RQ067,U002,480.00,2026-09-26,Candles,home,EUR
RQ068,U003,22000.00,2026-10-16,Printer,electronics,INR
RQ069,U004,5500.00,2026-09-29,Wine Tasting,leisure,ZAR
RQ070,U005,3500000.00,2026-10-19,Bluetooth Speaker,electronics,IDR
RQ071,U006,1100.00,2026-09-22,Sunglasses,fashion,USD
